City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ancud,CL,2021-03-30 21:00:06,-41.8697,-73.8203,68.0,68,75,10.36
1,Punta Arenas,CL,2021-03-30 21:09:55,-53.15,-70.9167,53.6,50,0,17.27
2,Price,US,2021-03-30 21:09:55,39.5994,-110.8107,39.2,22,1,13.8
3,Mar Del Plata,AR,2021-03-30 21:09:10,-38.0023,-57.5575,64.4,72,20,6.91
4,Atuona,PF,2021-03-30 21:09:56,-9.8,-139.0333,80.4,77,93,18.34
5,Belmonte,BR,2021-03-30 21:09:56,-15.8631,-38.8828,80.6,65,40,10.36
6,Anjozorobe,MG,2021-03-30 21:09:56,-18.4,47.8667,66.2,94,75,4.61
7,Kolvereid,NO,2021-03-30 21:09:57,64.8655,11.6047,37.4,87,75,5.75
8,Miri,MY,2021-03-30 21:09:57,4.4148,114.0089,77.0,94,40,3.78
9,New Norfolk,AU,2021-03-30 21:09:57,-42.7826,147.0587,55.99,73,84,2.98
10,Bluff,NZ,2021-03-30 21:09:58,-46.6,168.3333,55.99,98,36,1.01
11,Mana,GF,2021-03-30 21:05:35,5.6592,-53.7767,77.72,87,92,12.93
12,Iwanai,JP,2021-03-30 21:09:58,42.9744,140.5089,39.04,82,0,2.21
13,Kapaa,US,2021-03-30 21:09:59,22.0752,-159.319,78.8,73,40,14.97
14,Kirkwall,GB,2021-03-30 21:09:59,58.9848,-2.9587,44.6,93,75,13.8
15,Tuatapere,NZ,2021-03-30 21:09:59,-46.1333,167.6833,55.99,98,66,1.01
16,Saskylakh,RU,2021-03-30 21:10:00,71.9167,114.0833,-29.58,100,100,6.58
17,Qaanaaq,GL,2021-03-30 21:10:00,77.484,-69.3632,-1.26,72,100,5.79
18,Waipawa,NZ,2021-03-30 21:10:00,-41.4122,175.5153,63.0,94,75,8.05
19,Mataura,NZ,2021-03-30 21:10:00,-46.1927,168.8643,55.99,98,96,1.01
20,Maniitsoq,GL,2021-03-30 21:10:01,65.4167,-52.9,32.68,97,100,41.11
21,Hilo,US,2021-03-30 21:10:01,19.7297,-155.09,77.0,65,90,8.05
22,Aklavik,CA,2021-03-30 21:10:01,68.2191,-135.0107,-0.4,71,75,6.91
23,Talnakh,RU,2021-03-30 21:07:17,69.4865,88.3972,-24.48,93,15,1.32
24,Rikitea,PF,2021-03-30 21:06:20,-23.1203,-134.9692,78.62,69,8,14.61
25,Broome,US,2021-03-30 21:10:02,42.2506,-75.833,60.8,31,1,21.85
26,Lavrentiya,RU,2021-03-30 21:05:24,65.5833,-171.0,4.69,73,100,6.55
